ID,ANO,MES,MARCA,MODELO,TIPOVEHICULO,KM_MES,GrCo2_km,GrCo2
676,2023,1,13461 - FORD-CNG-TECHNIK,MONDEO HÍBRIDO,40 - TURISMO,4684,101,473
679,2023,1,05466 - UNVI,SPRINTER,30 - AUTOBUS,686,436,299
684,2023,1,02339 - JEEP,RENEGADE,40 - TURISMO,638,134,85
687,2023,1,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,202,170,34
688,2023,1,01709 - SEAT,TOLEDO,40 - TURISMO,36,106,4
689,2023,1,01709 - SEAT,TOLEDO,40 - TURISMO,626,106,66
692,2023,1,01476 - PEUGEOT,BOXER 2.0,20 - FURGONETA,168,180,30
697,2023,1,01709 - SEAT,LEON,40 - TURISMO,946,96,91
700,2023,1,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,1601,246,394
701,2023,1,01709 - SEAT,LEON,40 - TURISMO,393,96,38
702,2023,1,00388 - CITROEN,C2,03 - CAMION FURGON,86,113,10
705,2023,1,01382 - NISSAN,NISSAN LEAF 40KWH,40 - TURISMO,286,0,0
706,2023,1,01709 - SEAT,LEON,40 - TURISMO,1223,161,197
707,2023,1,00678 - FIAT,DOBLO,20 - FURGONETA,1465,133,195
711,2023,1,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,98,84,8
720,2023,1,01291 - MITSUBISHI,L 200,02 - CAMION CAJA,901,173,156
723,2023,1,01709 - SEAT,LEON ECOMOTIVE,40 - TURISMO,439,99,43
725,2023,1,00678 - FIAT,SEICENTO,40 - TURISMO,241,143,34
726,2023,1,01709 - SEAT,ALTEA,40 - TURISMO,348,142,49
727,2023,1,03670 - IVECO,CC80E18M P,00 - CAMION,9,220,2
728,2023,2,01181 - MAN,TGL,03 - CAMION FURGON,2504,354,886
729,2023,2,00678 - FIAT,IDEA,40 - TURISMO,73,124,9
733,2023,2,01252 - MERCEDES,VIANO 2.0,40 - TURISMO,78,218,17
735,2023,2,01551 - RENAULT,KANGOO,0G - VEHICULO MIXTO ADAPTABLE,345,140,48
740,2023,2,02339 - JEEP,RENEGADE,40 - TURISMO,2258,134,303
742,2023,2,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,213,170,36
